,ID,Address,Post Date,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Direction,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
59,72,"181, Tran Quoc Vuong, Dich Vong Hau, Cau Giay, Ha Noi",2024-03-08,1,2024,cau giay,7.3,140.0,can ho chung cu,,,2.0,,3.0,1.0,Yes,21.0342967,105.7836667
60,73,"36, Pham Hung, My Đinh 1, Nam Tu Liem, Ha Noi",2024-03-20,1,2024,,0.46,70.0,can ho chung cu,Đong Nam,,2.0,60.0,2.0,1.0,Yes,21.0204654,105.7801474
61,74,"Đai Lo Thang Long, Tay Mo, Nam Tu Liem, Ha Noi",2024-03-12,1,2024,,2.7,42.0,can ho chung cu,,,,,,,Not provided,21.0095815,105.7433896
62,76,"Ct8, My Đinh 1, Nam Tu Liem, Ha Noi",2024-03-21,1,2024,,0.56,78.3,can ho chung cu,Đong Nam,,2.0,25.0,2.0,1.0,Yes,21.0174287,105.7734697
63,77,"Tay Mo, Nam Tu Liem, Ha Noi",2024-04-04,2,2024,,2.86,54.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
64,78,"Lidaco - Vinaconex 7, Pho Đai Tu, Đai Kim, Hoang Mai, Ha Noi",2024-03-30,1,2024,hoang mai,3.8,96.0,can ho chung cu,,,,,,,Not provided,20.9718225,105.839784
65,79,"CH103, Đai lo Thang Long, An Khanh, Hoai Đuc, Ha Noi",2024-04-04,2,2024,hoai đuc,4.2,88.0,can ho chung cu,,,2.0,,2.0,1.0,Not provided,21.0109277,105.7215029
66,81,"Đai lo Thang Long, An Khanh, Hoai Đuc, Ha Noi",2024-04-05,2,2024,hoai đuc,5.6,128.0,can ho chung cu,,,,,,,Not provided,21.0109277,105.7215029
67,82,"Trung Van, Nam Tu Liem, Ha Noi",2024-04-04,2,2024,,5.7,126.0,can ho chung cu,,,,,,,Not provided,20.989171,105.7835348
68,85,"Đai Kim, Hoang Mai, Ha Noi",2024-01-18,1,2024,hoang mai,2.5,70.0,can ho chung cu,,,1.0,5.0,3.0,1.0,Yes,20.9739692,105.8216911
69,87,"Thanh Xuan, Ha Noi",2024-01-19,1,2024,thanh xuan,3.55,85.0,can ho chung cu,,,2.0,5.0,2.0,1.0,Yes,20.9959819,105.8097244
70,88,"So 19 Đai Tu, Pho Đai Tu, Đai Kim, Hoang Mai, Ha Noi",2024-01-18,1,2024,hoang mai,3.75,116.0,can ho chung cu,Đong,6.0,2.0,10.0,3.0,1.0,Yes,20.971932699290544,105.83978400000001
71,89,"Ngoc Thuy, Long Bien, Ha Noi",2024-01-20,1,2024,long bien,4.9,119.0,can ho chung cu,,,3.0,,3.0,1.0,Yes,21.06115397943242,105.87981336239626
72,90,"Tu Hiep, Thanh Tri, Ha Noi",2024-01-25,1,2024,thanh tri,3.3,120.0,can ho chung cu,Khong xac đinh,,3.0,,4.0,1.0,Yes,20.937764978469577,105.84716863856201
73,91,"Đong Hoi, Đong Anh, Ha Noi",2024-01-20,1,2024,đong anh,2.53,85.0,can ho chung cu,,,2.0,,3.0,1.0,Yes,21.07957045018565,105.87436226248781
74,93,"Duong Xa, Gia Lam, Ha Noi",2024-01-28,1,2024,gia lam,2.6,64.0,can ho chung cu,,,2.0,,2.0,1.0,Yes,21.003695851370708,105.94694626230469
75,95,"Van Canh, Hoai Đuc, Ha Noi",2024-02-01,1,2024,hoai đuc,3.0,70.0,can ho chung cu,Khong xac đinh,,2.0,,2.0,1.0,Yes,21.024620454526826,105.72884720531006
76,96,"Nhan Chinh, Thanh Xuan, Ha Noi",2024-02-14,1,2024,thanh xuan,3.79,90.0,can ho chung cu,,,2.0,,2.0,1.0,Yes,21.0046148,105.8040796
77,97,"Đa Ton, Gia Lam, Ha Noi",2024-02-01,1,2024,gia lam,3.7,74.0,can ho chung cu,,,2.0,,2.0,1.0,Yes,20.9852277,105.9318012
78,99,"Tran Duy Hung, Trung Hoa, Cau Giay, Ha Noi",2023-11-07,4,2023,cau giay,5.9,101.0,can ho chung cu,Khong xac đinh,,2.0,,3.0,1.0,Yes,10.8019128,106.7647475
79,100,"Cau Dien, Nam Tu Liem, Ha Noi",2024-02-20,1,2024,,3.6,109.0,can ho chung cu,,,,,,,Not provided,21.0389703,105.7662249
80,101,"Thanh Luong, Hai Ba Trung, Ha Noi",2023-10-28,4,2023,hai ba trung,2.22,80.0,can ho chung cu,,,2.0,12.5,2.0,1.0,Yes,21.0068975,105.8715997
81,102,"4, Hoang Đao Thuy, Nhan Chinh, Thanh Xuan, Ha Noi",2023-11-08,4,2023,thanh xuan,0.1,55.0,can ho chung cu,Đong Bac,25.0,2.0,25.0,2.0,1.0,Yes,21.0070457,105.8029953
82,103,"Đai Lo Thang Long, Bac Tu Liem, Ha Noi",2023-11-08,4,2023,,2.5,55.0,can ho chung cu,,12.0,1.0,40.0,2.0,1.0,Yes,21.004353266200432,105.75225247777101
83,104,"so 1, Hoang Đao Thuy, Nhan Chinh, Thanh Xuan, Ha Noi",2023-11-08,4,2023,thanh xuan,6.5,103.0,can ho chung cu,Đong Nam,35.0,2.0,40.0,3.0,1.0,Not provided,21.0061413,105.8039336
84,105,"so 1, Hoang Đao Thuy, Nhan Chinh, Thanh Xuan, Ha Noi",2023-11-14,4,2023,thanh xuan,5.8,102.0,can ho chung cu,Đong Nam,37.0,2.0,40.0,3.0,1.0,Yes,21.0059165,105.804758
85,106,"Tay Mo, Nam Tu Liem, Ha Noi",2023-11-13,4,2023,,1.3,31.0,can ho chung cu,Đong Bac,9.0,1.0,60.0,1.0,1.0,Yes,21.0088528,105.7439194
86,107,"Kim Nguu, Thanh Luong, Hai Ba Trung, Ha Noi",2023-11-26,4,2023,hai ba trung,1.95,60.0,can ho chung cu,Khong xac đinh,1.0,1.0,5.0,2.0,1.0,Yes,10.8019128,106.7647475
87,108,"Tu Hiep, Thanh Tri, Ha Noi",2023-11-27,4,2023,thanh tri,3.49,127.0,can ho chung cu,,,,,,,Not provided,20.93261440339782,105.8510202907074
88,109,"Toa nha CT5B, La Khe, La Khe, Ha Đong, Ha Noi",2023-11-27,4,2023,ha đong,2.57,85.3,can ho chung cu,Đong,21.0,2.0,5.0,3.0,1.0,Yes,20.9730275,105.7636343
89,110,"Pho Trung Kinh, Yen Hoa, Cau Giay, Ha Noi",2023-11-28,4,2023,cau giay,4.25,70.0,can ho chung cu,Khong xac đinh,,2.0,,2.0,1.0,Yes,10.8019128,106.7647475
90,112,"Giang Vo, Ba Đinh, Ha Noi",2023-11-28,4,2023,ba đinh,2.7,60.0,can ho chung cu,,,1.0,,2.0,1.0,Yes,21.0270609,105.8194896
91,115,"151, Nguyen Đuc Canh, Tuong Mai, Hoang Mai, Ha Noi",2023-12-02,4,2023,hoang mai,2.65,89.0,can ho chung cu,Nam,7.0,2.0,,3.0,1.0,Yes,20.9867819,105.85273030000008
92,116,"Ba Trieu, Hang Bai, Hoan Kiem, Ha Noi",2023-12-18,4,2023,hoan kiem,2.485,45.0,can ho chung cu,,1.0,,,2.0,1.0,Yes,21.0215246,105.8502762
93,118,"Tay Mo, Ta Poo, Bac Tu Liem, Ha Noi",2023-08-04,3,2023,,2.12,54.0,can ho chung cu,Tay Nam,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
94,119,"Khuong Trung, Thanh Xuan, Ha Noi",2023-08-08,3,2023,thanh xuan,2.1,85.0,can ho chung cu,,,2.0,12.5,2.0,1.0,Not provided,20.9971504,105.8216911
95,120,"Tay Mo, Ta Poo, Bac Tu Liem, Ha Noi",2023-08-09,3,2023,,2.1,54.0,can ho chung cu,Tay Bac,1.0,1.0,,2.0,1.0,Yes,10.8019128,106.7647475
96,121,"Tay Mo, Nam Tu Liem, Ha Noi",2023-08-10,3,2023,,1.35,27.3,can ho chung cu,,,,,,,Yes,21.0088528,105.7439194
97,124,"4, Quang Trung, Yet Kieu, Ha Đong, Ha Noi",2023-08-23,3,2023,ha đong,2.5,60.0,can ho chung cu,Tay Nam,41.0,2.0,40.0,2.0,1.0,Yes,20.9733204,105.7782815
98,125,"Thanh Xuan Trung, Thanh Xuan, Ha Noi",2023-08-28,3,2023,thanh xuan,3.8,120.0,can ho chung cu,,,2.0,12.5,3.0,1.0,Yes,20.9959212,105.8040796
99,126,"Duong Van Be, Vinh Tuy, Hai Ba Trung, Ha Noi",2023-08-29,3,2023,hai ba trung,10.5,97.0,can ho chung cu,Đong,1.0,,40.0,,,Yes,10.876248,106.660338
100,127,"Đai Kim, Hoang Mai, Ha Noi",2023-09-02,3,2023,hoang mai,2.95,100.0,can ho chung cu,,,2.0,12.5,3.0,1.0,Yes,10.876248,106.660338
101,128,"Nam Tu Liem, Ha Noi",2023-09-12,3,2023,,4.3,80.0,can ho chung cu,,,2.0,,2.0,1.0,Not provided,10.876248,106.660338
102,130,"TT. Trau Quy, Gia Lam, Ha Noi",2023-09-22,3,2023,gia lam,2.9,76.1,can ho chung cu,,31.0,2.0,,2.0,1.0,Yes,21.0078386,105.9376756
103,131,"Thanh Xuan Trung, Thanh Xuan, Ha Noi",2023-10-02,4,2023,thanh xuan,3.98,100.0,can ho chung cu,,,2.0,5.0,2.0,1.0,Yes,20.9959212,105.8040796
104,132,"Đa Ton, Gia Lam, Ha Noi",2023-09-26,3,2023,gia lam,2.7,69.0,can ho chung cu,Đong Nam,37.0,2.0,,2.0,1.0,Yes,20.995570246644007,105.93628801145937
105,133,"84, Xuan Phuong, Bac Tu Liem, Ha Noi",2023-10-02,4,2023,,1.78,69.0,can ho chung cu,Nam,11.0,2.0,17.5,2.0,1.0,Yes,21.0411784,105.736607
106,137,Ha Noi,2023-07-23,3,2023,,2.6,100.0,can ho chung cu,,,,,2.0,,Yes,21.0277644,105.8341598
107,138,"Pho Trung Kinh, Yen Hoa, Cau Giay, Ha Noi",2023-07-18,3,2023,cau giay,1.9,60.0,can ho chung cu,Tay Bac,1.0,1.0,4.0,2.0,1.0,Yes,21.0181378,105.7932507
108,140,"4, Chinh Kinh, Thanh Xuan Trung, Thanh Xuan, Ha Noi",2023-07-24,3,2023,thanh xuan,9.4,235.0,can ho chung cu,,20.0,4.0,,3.0,1.0,Yes,20.9995544,105.8113326
109,141,"119, Cau Dien, Nam Tu Liem, Ha Noi",2023-07-25,3,2023,,4.55,103.0,can ho chung cu,,9.0,2.0,17.5,3.0,1.0,Yes,21.0345864,105.7629924
110,143,"Giai Phong, Yen So, Hoang Mai, Ha Noi",2023-07-26,3,2023,hoang mai,1.0,70.0,can ho chung cu,,,2.0,17.5,2.0,1.0,Yes,20.9851676,105.8409478
111,145,"Đai Kim, Hoang Mai, Ha Noi",2023-07-26,3,2023,hoang mai,0.35,70.0,can ho chung cu,,,2.0,,2.0,1.0,Yes,20.968719687808644,105.82860047042236
112,146,"An Khanh, Hoai Đuc, Ha Noi",2023-07-26,3,2023,hoai đuc,0.37,123.0,can ho chung cu,,,2.0,,3.0,1.0,Yes,10.876248,106.660338
113,147,"Đai Kim, Hoang Mai, Ha Noi",2023-07-26,3,2023,hoang mai,0.4,68.0,can ho chung cu,,10.0,2.0,,2.0,1.0,Yes,20.968839907707565,105.82984501540527
114,148,"Đai Kim, Hoang Mai, Ha Noi",2023-07-26,3,2023,hoang mai,0.35,70.0,can ho chung cu,,,2.0,,2.0,1.0,Yes,20.985162710767227,105.86364306250002
115,149,"Bang Liet, Đai Kim, Hoang Mai, Ha Noi",2023-07-26,3,2023,hoang mai,0.38,68.0,can ho chung cu,,,2.0,,2.0,1.0,Yes,20.9676408,105.8239864
116,150,"Van Canh, Hoai Đuc, Ha Noi",2023-07-26,3,2023,hoai đuc,2.49,72.0,can ho chung cu,Đong Nam,21.0,2.0,,2.0,1.0,Yes,21.02530144429216,105.7312504645874
117,151,"Viet Hung, Long Bien, Ha Noi",2023-06-21,2,2023,long bien,2.57,75.6,can ho chung cu,,,,,,,Not provided,21.0526345,105.8996408
118,153,"Pham Hung, My Đinh 2, Nam Tu Liem, Ha Noi",2023-06-21,2,2023,,6.0,131.0,can ho chung cu,,,,,4.0,,Yes,21.0106758,105.7995616
119,154,"Ha Đinh, Thanh Xuan, Ha Noi",2023-06-22,2,2023,thanh xuan,2.4,80.0,can ho chung cu,,,2.0,12.5,2.0,1.0,Yes,20.9866719,105.8099499
120,156,"Đa Ton, Đa Ton, Gia Lam, Ha Noi",2023-06-22,2,2023,gia lam,0.2,64.0,can ho chung cu,,27.0,2.0,17.5,2.0,1.0,Yes,20.990997508608828,105.94879567631835
121,157,"Co Nhue 1, Bac Tu Liem, Ha Noi",2023-06-22,2,2023,,4.1,82.0,can ho chung cu,,,,,,,Yes,21.0506076,105.7909724
122,158,"Tay Mo, Nam Tu Liem, Ha Noi",2023-06-22,2,2023,,3.2,61.0,can ho chung cu,,,2.0,,2.0,,Yes,21.0088528,105.7439194
123,159,"Tay Mo, Nam Tu Liem, Ha Noi",2023-06-22,2,2023,,2.2,42.0,can ho chung cu,,,1.0,,1.0,,Not provided,21.0088528,105.7439194
124,160,"Tay Mo, Nam Tu Liem, Ha Noi",2023-06-22,2,2023,,1.5,28.0,can ho chung cu,,,,,,,Not provided,21.0088528,105.7439194
125,161,"Tay Mo, Nam Tu Liem, Ha Noi",2023-07-01,3,2023,,3.0,75.0,can ho chung cu,,,,9.0,,,Yes,21.005607698272588,105.75421908261717
126,162,"Đang Xa, Gia Lam, Ha Noi",2023-06-29,2,2023,gia lam,1.43,70.0,can ho chung cu,Đong Nam,12.0,2.0,12.5,2.0,1.0,Yes,21.0287612,105.9611748
127,163,"O Cho Dua, Đong Đa, Ha Noi",2023-07-02,3,2023,đong đa,1.25,40.0,can ho chung cu,,2.0,1.0,,1.0,1.0,Yes,21.0200535,105.8246266
128,164,"Thanh Xuan Trung, Thanh Xuan, Ha Noi",2023-07-03,3,2023,thanh xuan,1.85,60.0,can ho chung cu,,,1.0,5.0,2.0,1.0,Yes,20.9959212,105.8040796
129,165,"Nhan Chinh, Thanh Xuan, Ha Noi",2023-07-04,3,2023,thanh xuan,2.4,63.0,can ho chung cu,,,1.0,10.0,2.0,1.0,Yes,21.0046148,105.8040796
130,166,"Vu Lang, Tu Hiep, Thanh Tri, Ha Noi",2023-07-04,3,2023,thanh tri,3.299,127.0,can ho chung cu,Đong Nam,25.0,3.0,,4.0,1.0,Yes,20.93436122856406,105.85102553028565
131,167,"Mac Thai To, Trung Hoa, Cau Giay, Ha Noi",2023-07-06,3,2023,cau giay,1.55,42.0,can ho chung cu,Nam,7.0,1.0,12.5,1.0,1.0,Yes,21.018469990743093,105.78541466452637
132,168,"Van Chuong, Đong Đa, Ha Noi",2023-06-20,2,2023,đong đa,1.39,45.0,can ho chung cu,,2.0,1.0,,1.0,1.0,Yes,21.022491,105.8371026
133,169,"Tu Hiep, Thanh Tri, Ha Noi",2023-05-17,2,2023,thanh tri,3.1,127.0,can ho chung cu,,,3.0,,4.0,1.0,Yes,20.93331585400132,105.85180349573974
134,171,"Nguyen Chi Thanh, Lang Thuong, Đong Đa, Ha Noi",2023-05-19,2,2023,đong đa,2.8,100.0,can ho chung cu,,,2.0,,3.0,1.0,Yes,21.0207992,105.8086635
135,172,"Vu Lang, Thanh Tri, Ha Noi",2023-05-22,2,2023,thanh tri,3.68,141.0,can ho chung cu,Đong Nam,25.0,3.0,,4.0,1.0,Yes,21.0277644,105.8341598
136,173,"Pho Trung Kinh, Yen Hoa, Cau Giay, Ha Noi",2023-05-22,2,2023,cau giay,1.9,60.0,can ho chung cu,Tay Bac,1.0,1.0,5.0,2.0,,Yes,21.0181378,105.7932507
137,174,"Bang Liet, Hoang Liet, Hoang Mai, Ha Noi",2023-05-21,2,2023,hoang mai,3.2,78.0,can ho chung cu,Đong Nam,14.0,2.0,17.5,2.0,1.0,Yes,20.969224744974266,105.82178244313049
138,175,"Đinh Cong, Đinh Cong, Hoang Mai, Ha Noi",2023-05-22,2,2023,hoang mai,1.75,60.0,can ho chung cu,,,1.0,12.5,2.0,1.0,Yes,20.9831371,105.8319653
139,176,"Trung Hoa, Cau Giay, Ha Noi",2023-05-23,2,2023,cau giay,1.6,40.0,can ho chung cu,,,1.0,,1.0,1.0,Yes,21.0096566,105.7967419
140,177,"Dich Vong, Cau Giay, Ha Noi",2023-05-25,2,2023,cau giay,2.25,65.0,can ho chung cu,,,1.0,,2.0,1.0,Yes,21.0347067,105.7923394
141,180,"Van Canh, Hoai Đuc, Ha Noi",2023-05-31,2,2023,hoai đuc,2.69,67.0,can ho chung cu,Đong Bac,21.0,2.0,60.0,2.0,1.0,Yes,21.024820745957232,105.73039215770264
